Family,Name ,Shape,N,r,L.min,L.max,a,b,%error,Name,,name with extra space,,name without extra space
Chaetodontidae,Chaetodon bennetti,very-flat,20,0.99,3.00,12.60,0.04,2.89,7.90,Chaetodon,bennetti,Chaetodon bennetti,,Chaetodon bennetti
Chaetodontidae,Chaetodon citrinellus,very-flat,74,0.99,3.00,10.50,0.04,2.83,9.60,Chaetodon,citrinellus,Chaetodon citrinellus,,Chaetodon citrinellus
Chaetodontidae,Chaetodon ephippium,very-flat,63,1.00,3.40,17.50,0.02,3.06,6.70,Chaetodon,ephippium,Chaetodon ephippium,,Chaetodon ephippium
Chaetodontidae,Chaetodon flavirostris,very-flat,174,0.99,2.60,16.50,0.03,3.11,8.40,Chaetodon,flavirostris,Chaetodon flavirostris,,Chaetodon flavirostris
Chaetodontidae,Chaetodon lineolatus,very-flat,89,0.99,2.00,20.00,0.07,2.62,13.30,Chaetodon,lineolatus,Chaetodon lineolatus,,Chaetodon lineolatus
Chaetodontidae,Chaetodon melannotus,very-flat,138,0.99,2.00,11.10,0.03,3.05,9.90,Chaetodon,melannotus,Chaetodon melannotus,,Chaetodon melannotus
Chaetodontidae,Chaetodon mertensii,very-flat,15,0.98,7.00,10.00,0.00,3.79,5.40,Chaetodon,mertensii,Chaetodon mertensii,,Chaetodon mertensii
Chaetodontidae,Chaetodon pelewensis,very-flat,26,0.97,5.00,9.00,0.02,3.30,11.20,Chaetodon,pelewensis,Chaetodon pelewensis,,Chaetodon pelewensis
Chaetodontidae,Chaetodon plebeius,very-flat,283,0.98,2.00,10.00,0.06,2.63,9.00,Chaetodon,plebeius,Chaetodon plebeius,,Chaetodon plebeius
Chaetodontidae,Chaetodon speculum,very-flat,444,0.98,2.00,11.50,0.07,2.69,8.90,Chaetodon,speculum,Chaetodon speculum,,Chaetodon speculum
Chaetodontidae,Chaetodon trifascialis,very-flat,23,0.99,3.00,14.00,0.03,2.97,10.20,Chaetodon,trifascialis,Chaetodon trifascialis,,Chaetodon trifascialis
Chaetodontidae,Chaetodon trifasciatus,very-flat,189,0.98,3.50,12.10,0.03,2.98,8.00,Chaetodon,trifasciatus,Chaetodon trifasciatus,,Chaetodon trifasciatus
Chaetodontidae,Chaetodon ulietensis,very-flat,36,1.00,3.30,12.10,0.03,2.87,6.90,Chaetodon,ulietensis,Chaetodon ulietensis,,Chaetodon ulietensis
Chaetodontidae,Chaetodon unimaculatus,very-flat,13,1.00,4.50,18.00,0.05,2.83,5.20,Chaetodon,unimaculatus,Chaetodon unimaculatus,,Chaetodon unimaculatus
Chaetodontidae,Chaetodon vagabundus,very-flat,65,0.99,4.00,14.00,0.03,2.97,6.40,Chaetodon,vagabundus,Chaetodon vagabundus,,Chaetodon vagabundus
Chaetodontidae,Heniochus spp.,very-flat,146,0.99,3.50,21.40,0.03,3.08,11.20,Heniochus,spp.,Heniochus spp.,,Heniochus spp.
Chaetodontidae,Heniochus acuminatus,very-flat,85,0.99,3.50,17.50,0.02,3.11,11.60,Heniochus,acuminatus,Heniochus acuminatus,,Heniochus acuminatus
Chaetodontidae,Heniochus chrysostomus,very-flat,24,0.98,5.00,14.00,0.02,3.26,12.80,Heniochus,chrysostomus,Heniochus chrysostomus,,Heniochus chrysostomus
Chaetodontidae,Heniochus monoceros,very-flat,29,0.99,9.00,21.00,0.02,3.21,9.10,Heniochus,monoceros,Heniochus monoceros,,Heniochus monoceros
Chanidae,Chanos chanos,cylindrical,85,0.98,14.50,35.00,0.00,3.39,9.10,Chanos,chanos,Chanos chanos,,Chanos chanos
Chirocentridae,Chirocentrus dorab,semi-elongated,30,0.93,32.50,63.00,0.01,2.99,10.50,Chirocentrus,dorab,Chirocentrus dorab,,Chirocentrus dorab
Cirrhitidae,,cylindrical,22,0.99,4.30,15.00,0.01,3.27,8.00,,, ,,
Cirrhitidae,Cirrhitichtys falco,cylindrical,17,0.94,4.30,8.00,0.00,3.85,12.60,Cirrhitichtys,falco,Cirrhitichtys falco,,Cirrhitichtys falco
Clinidae,,semi-elongated,34,0.89,3.50,8.90,0.00,3.86,9.00,,, ,,
Clinidae,Heteroclinus roseus,semi-elongated,10,0.91,3.50,8.00,0.02,2.78,76.30,Heteroclinus,roseus,Heteroclinus roseus,,Heteroclinus roseus
Clupeidae,,cylindrical,896,0.99,3.50,24.00,0.01,3.31,19.80,,, ,,
Clupeidae,Anodontostoma chacunda,cylindrical,691,0.99,3.50,24.00,0.02,3.05,7.40,Anodontostoma,chacunda,Anodontostoma chacunda,,Anodontostoma chacunda
Clupeidae,Herklotsichthys quadrimaculatus,cylindrical,70,0.95,5.00,14.50,0.01,3.32,9.20,Herklotsichthys,quadrimaculatus,Herklotsichthys quadrimaculatus,,Herklotsichthys quadrimaculatus
Clupeidae,Sardinella fijiensis,cylindrical,36,0.99,5.50,15.50,0.02,2.97,9.40,Sardinella,fijiensis,Sardinella fijiensis,,Sardinella fijiensis
Congridae,Conger cinereus,elongated,14,1.00,10.90,110.00,0.00,3.13,9.70,Conger,cinereus,Conger cinereus,,Conger cinereus
Congridae,Muraenesox bagio,elongated,14,0.99,56.00,106.00,0.00,2.82,6.50,Muraenesox,bagio,Muraenesox bagio,,Muraenesox bagio
